ntasks,global_data_size,parallel_time,serial_time,run_serial
46,46000000,0.846471,10.346201,1
46,46000000,0.854196,10.240393,1
46,46000000,0.847408,10.244504,1
48,48000000,0.872585,10.832588,1
48,48000000,0.872750,10.907754,1
48,48000000,0.871521,10.705521,1
48,48000000,0.881651,10.762778,1
48,48000000,0.876482,10.676238,1
48,48000000,0.872995,10.764992,1
48,48000000,0.871478,10.803677,1
48,48000000,0.871440,10.750033,1
48,48000000,0.870116,10.755195,1
48,48000000,0.870307,10.720008,1
50,50000000,0.894567,11.135311,1
50,50000000,0.897701,11.004078,1
50,50000000,0.896596,11.046395,1
50,50000000,0.896142,11.479365,1
50,50000000,0.893461,11.178404,1
50,50000000,0.906041,11.078338,1
50,50000000,0.904545,11.133574,1
50,50000000,0.896602,11.039735,1
50,50000000,0.899079,11.051059,1
50,50000000,0.899956,11.116119,1
52,52000000,0.925276,11.456150,1
52,52000000,0.924503,11.500559,1
52,52000000,0.922046,11.587407,1
52,52000000,0.922022,11.590392,1
52,52000000,0.923433,11.613710,1
52,52000000,0.920388,11.544556,1
52,52000000,0.933521,11.415006,1
52,52000000,0.922326,11.677428,1
52,52000000,0.916677,11.429733,1
52,52000000,0.920829,11.574731,1
54,54000000,0.957139,12.102632,1
54,54000000,0.948873,12.153568,1
54,54000000,0.954479,12.068759,1
54,54000000,0.951043,12.067222,1
54,54000000,0.945176,12.200857,1
54,54000000,0.944600,12.026396,1
54,54000000,0.950762,12.243926,1
54,54000000,0.943338,12.057322,1
54,54000000,0.949296,12.063393,1
54,54000000,0.949566,12.147591,1
56,56000000,0.994726,12.468079,1
56,56000000,0.984195,12.437492,1
56,56000000,0.977960,12.497947,1
56,56000000,0.977271,12.412494,1
56,56000000,0.980288,12.416331,1
56,56000000,0.977370,12.540110,1
56,56000000,0.972150,12.448627,1
56,56000000,0.977454,12.498155,1
56,56000000,0.981293,12.472640,1
56,56000000,0.972604,12.362370,1
58,58000000,1.002207,13.021932,1
58,58000000,1.002876,13.174338,1
58,58000000,1.001974,13.041204,1
58,58000000,1.009615,13.224825,1
58,58000000,1.006169,13.161315,1
58,58000000,0.990891,13.114228,1
58,58000000,0.985878,13.008810,1
58,58000000,1.006475,13.121524,1
58,58000000,1.004178,13.034398,1
58,58000000,1.005065,13.058452,1
60,60000000,1.028809,13.512710,1
60,60000000,0.997909,13.527832,1
60,60000000,1.034138,13.422209,1
60,60000000,0.991712,13.652528,1
60,60000000,1.034856,13.583367,1
60,60000000,0.990739,13.554708,1
60,60000000,1.029683,13.455166,1
60,60000000,1.025741,13.508332,1
60,60000000,1.029407,13.367942,1
60,60000000,1.030773,13.392504,1
62,62000000,1.052608,14.070426,1
62,62000000,1.054473,14.064754,1
62,62000000,1.055290,13.961606,1
62,62000000,1.061744,14.006006,1
62,62000000,1.052645,13.932165,1
62,62000000,1.055052,14.113771,1
62,62000000,1.061068,13.955009,1
62,62000000,1.061316,14.191917,1
62,62000000,1.054572,14.006625,1
62,62000000,1.059248,14.083143,1
64,64000000,1.068461,15.235922,1
64,64000000,1.087773,15.282855,1
64,64000000,1.084279,15.289258,1
64,64000000,1.087596,15.053494,1
64,64000000,1.046119,15.303314,1
64,64000000,1.076485,15.130986,1
64,64000000,1.082492,15.117913,1
64,64000000,1.062434,15.387961,1
64,64000000,1.085919,15.081415,1
64,64000000,1.082789,15.432468,1
66,66000000,1.086715,15.314991,1
66,66000000,1.110274,15.273165,1
66,66000000,1.108289,15.055076,1
66,66000000,1.101243,15.094012,1
66,66000000,1.097690,15.476860,1
66,66000000,1.113388,15.147522,1
66,66000000,1.121241,15.108181,1
66,66000000,1.079952,15.214149,1
66,66000000,1.118822,15.145984,1
66,66000000,1.092146,15.207846,1
68,68000000,1.115798,15.292102,1
68,68000000,1.119331,15.264325,1
68,68000000,1.097487,15.370964,1
68,68000000,1.100701,15.445573,1
68,68000000,1.124886,15.553009,1
68,68000000,1.101257,15.292577,1
68,68000000,1.099087,15.349847,1
68,68000000,1.109422,15.325952,1
68,68000000,1.140915,15.482032,1
68,68000000,1.106336,15.272503,1
70,70000000,1.119619,15.924641,1
70,70000000,1.126407,16.075299,1
70,70000000,1.121850,15.883770,1
70,70000000,1.124427,16.077433,1
70,70000000,1.129049,15.930388,1
70,70000000,1.146671,16.114945,1
70,70000000,1.122370,16.010163,1
70,70000000,1.129224,16.022571,1
70,70000000,1.122188,15.957056,1
70,70000000,1.122022,15.962341,1
72,72000000,1.147272,16.800596,1
72,72000000,1.148827,16.681471,1
72,72000000,1.158523,16.795491,1
72,72000000,1.171347,16.705983,1
72,72000000,1.157676,16.819209,1
72,72000000,1.159499,17.011603,1
72,72000000,1.146414,16.903017,1
72,72000000,1.154045,16.662756,1
72,72000000,1.150101,16.945747,1
