Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,5,6,8192,2.90,0.79,4.29,1000
Broadcast,5,6,16384,10.52,6.54,12.26,1000
Broadcast,5,6,32768,17.41,10.67,20.06,1000
Broadcast,5,6,65536,25.90,16.30,29.63,1000
Broadcast,5,6,131072,44.74,28.56,51.18,1000
Broadcast,5,6,262144,84.02,49.90,98.93,1000
Broadcast,5,6,524288,166.04,90.01,196.53,1000
Broadcast,5,6,1048576,329.36,165.50,393.09,1000
Broadcast,1,10,1,1.09,0.23,1.36,1000
Broadcast,1,10,2,1.07,0.21,1.36,1000
Broadcast,1,10,4,1.09,0.26,1.39,1000
Broadcast,1,10,8,1.06,0.21,1.33,1000
Broadcast,1,10,16,1.13,0.24,1.43,1000
Broadcast,1,10,32,1.15,0.24,1.45,1000
Broadcast,1,10,64,1.15,0.24,1.43,1000
Broadcast,1,10,128,2.13,0.53,3.14,1000
Broadcast,1,10,256,2.06,0.53,3.07,1000
Broadcast,1,10,512,2.14,0.53,3.21,1000
Broadcast,1,10,1024,2.46,0.67,3.77,1000
Broadcast,1,10,2048,3.40,0.75,5.65,1000
Broadcast,1,10,4096,4.56,0.99,7.91,1000
Broadcast,1,10,8192,7.33,1.18,13.29,1000
Broadcast,1,10,16384,9.20,4.34,11.68,1000
Broadcast,1,10,32768,14.15,6.76,17.38,1000
Broadcast,1,10,65536,29.40,18.62,33.22,1000
Broadcast,1,10,131072,63.84,53.18,68.26,1000
Broadcast,1,10,262144,146.07,132.90,153.11,1000
Broadcast,1,10,524288,318.98,310.60,324.96,1000
Broadcast,1,10,1048576,621.82,604.12,636.84,1000
Broadcast,2,10,1,1.20,0.30,1.59,1000
Broadcast,2,10,2,1.21,0.29,1.62,1000
Broadcast,2,10,4,1.20,0.33,1.59,1000
Broadcast,2,10,8,1.21,0.30,1.59,1000
Broadcast,2,10,16,1.20,0.32,1.59,1000
Broadcast,2,10,32,1.27,0.28,1.67,1000
Broadcast,2,10,64,1.27,0.29,1.64,1000
Broadcast,2,10,128,1.68,0.33,2.18,1000
Broadcast,2,10,256,1.67,0.35,2.19,1000
Broadcast,2,10,512,1.73,0.48,2.28,1000
Broadcast,2,10,1024,1.83,0.47,2.39,1000
Broadcast,2,10,2048,2.36,0.51,3.07,1000
Broadcast,2,10,4096,3.13,0.71,4.40,1000
