Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Reduce,2,6,65536,29.09,27.39,30.19,1000
Reduce,2,6,131072,54.01,51.92,55.84,1000
Reduce,2,6,262144,128.47,117.85,134.06,1000
Reduce,2,6,524288,389.43,348.32,411.21,1000
Reduce,2,6,1048576,790.67,704.47,837.36,1000
Reduce,3,6,4,1.47,0.98,1.82,1000
Reduce,3,6,8,1.46,0.97,1.84,1000
Reduce,3,6,16,1.46,0.95,1.84,1000
Reduce,3,6,32,1.60,1.04,2.03,1000
Reduce,3,6,64,1.67,1.12,2.07,1000
Reduce,3,6,128,1.91,1.45,2.23,1000
Reduce,3,6,256,2.02,1.53,2.35,1000
Reduce,3,6,512,2.01,1.62,2.37,1000
Reduce,3,6,1024,2.28,1.86,2.60,1000
Reduce,3,6,2048,2.81,2.29,3.18,1000
Reduce,3,6,4096,4.25,3.83,4.60,1000
Reduce,3,6,8192,6.79,6.01,7.43,1000
Reduce,3,6,16384,10.22,9.19,11.00,1000
Reduce,3,6,32768,16.79,15.33,17.75,1000
Reduce,3,6,65536,30.27,28.67,31.36,1000
Reduce,3,6,131072,55.80,53.25,57.50,1000
Reduce,3,6,262144,128.56,117.74,134.20,1000
Reduce,3,6,524288,386.72,350.51,410.33,1000
Reduce,3,6,1048576,782.00,706.97,831.25,1000
Reduce,4,6,4,1.23,0.77,1.58,1000
Reduce,4,6,8,1.17,0.75,1.50,1000
Reduce,4,6,16,1.21,0.76,1.56,1000
Reduce,4,6,32,1.42,0.85,1.82,1000
Reduce,4,6,64,1.45,0.89,1.83,1000
Reduce,4,6,128,1.64,1.22,1.96,1000
Reduce,4,6,256,1.65,1.24,1.94,1000
Reduce,4,6,512,1.80,1.39,2.09,1000
Reduce,4,6,1024,2.06,1.69,2.34,1000
Reduce,4,6,2048,2.83,2.42,3.14,1000
Reduce,4,6,4096,4.20,3.77,4.57,1000
Reduce,4,6,8192,6.91,6.14,7.52,1000
Reduce,4,6,16384,10.19,9.13,10.96,1000
Reduce,4,6,32768,16.03,14.63,16.95,1000
Reduce,4,6,65536,29.42,27.83,30.51,1000
Reduce,4,6,131072,56.65,54.01,58.41,1000
Reduce,4,6,262144,129.03,118.23,134.44,1000
Reduce,4,6,524288,389.97,348.70,411.52,1000
Reduce,4,6,1048576,794.74,709.03,840.61,1000
Reduce,1,8,4,1.10,1.02,1.18,1000
Reduce,1,8,8,1.10,1.06,1.14,1000
Reduce,1,8,16,1.10,1.06,1.14,1000
Reduce,1,8,32,1.34,1.24,1.43,1000
Reduce,1,8,64,1.34,1.29,1.38,1000
Reduce,1,8,128,1.53,1.47,1.57,1000
Reduce,1,8,256,1.54,1.48,1.58,1000
Reduce,1,8,512,1.75,1.69,1.79,1000
Reduce,1,8,1024,2.13,2.10,2.18,1000
Reduce,1,8,2048,3.34,3.29,3.42,1000
Reduce,1,8,4096,5.66,5.57,5.77,1000
Reduce,1,8,8192,5.56,5.54,5.58,1000
Reduce,1,8,16384,8.43,8.41,8.45,1000
Reduce,1,8,32768,14.62,14.57,14.66,1000
Reduce,1,8,65536,23.27,23.21,23.37,1000
Reduce,1,8,131072,46.95,46.70,47.12,1000
Reduce,1,8,262144,99.77,99.35,100.18,1000
Reduce,1,8,524288,371.68,370.33,372.93,1000
Reduce,1,8,1048576,980.73,977.11,984.90,1000
Reduce,2,8,4,1.07,1.01,1.11,1000
Reduce,2,8,8,1.07,1.02,1.11,1000
Reduce,2,8,16,1.08,1.02,1.12,1000
Reduce,2,8,32,1.34,1.31,1.37,1000
Reduce,2,8,64,1.31,1.29,1.32,1000
