Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,1,4,524288,111.83,107.57,114.11,1000
Broadcast,1,4,1048576,228.46,226.44,232.21,1000
Broadcast,2,4,1,0.22,0.22,0.22,1000
Broadcast,2,4,2,0.26,0.25,0.26,1000
Broadcast,2,4,4,0.26,0.25,0.27,1000
Broadcast,2,4,8,0.23,0.22,0.23,1000
Broadcast,2,4,16,0.23,0.22,0.23,1000
Broadcast,2,4,32,0.30,0.27,0.32,1000
Broadcast,2,4,64,0.28,0.27,0.30,1000
Broadcast,2,4,128,0.44,0.34,0.53,1000
Broadcast,2,4,256,0.49,0.37,0.59,1000
Broadcast,2,4,512,0.56,0.43,0.69,1000
Broadcast,2,4,1024,0.74,0.57,0.96,1000
Broadcast,2,4,2048,1.06,0.79,1.40,1000
Broadcast,2,4,4096,1.70,1.24,2.27,1000
Broadcast,2,4,8192,2.75,1.96,3.77,1000
Broadcast,2,4,16384,5.73,4.68,6.29,1000
Broadcast,2,4,32768,9.00,7.59,9.72,1000
Broadcast,2,4,65536,15.09,12.95,16.04,1000
Broadcast,2,4,131072,28.26,24.90,29.62,1000
Broadcast,2,4,262144,56.67,52.90,58.29,1000
Broadcast,2,4,524288,111.52,106.42,113.88,1000
Broadcast,2,4,1048576,227.07,223.21,230.78,1000
Broadcast,3,4,1,0.49,0.12,0.71,1000
Broadcast,3,4,2,0.47,0.12,0.69,1000
Broadcast,3,4,4,0.48,0.12,0.69,1000
Broadcast,3,4,8,0.47,0.12,0.69,1000
Broadcast,3,4,16,0.47,0.12,0.68,1000
Broadcast,3,4,32,0.56,0.11,0.88,1000
Broadcast,3,4,64,0.55,0.11,0.87,1000
Broadcast,3,4,128,0.74,0.16,1.20,1000
Broadcast,3,4,256,0.78,0.16,1.25,1000
Broadcast,3,4,512,0.84,0.17,1.38,1000
Broadcast,3,4,1024,1.04,0.20,1.71,1000
Broadcast,3,4,2048,1.46,0.25,2.45,1000
Broadcast,3,4,4096,2.14,0.38,3.62,1000
Broadcast,3,4,8192,3.48,0.67,5.85,1000
Broadcast,3,4,16384,10.01,4.10,13.50,1000
Broadcast,3,4,32768,16.76,7.16,22.41,1000
Broadcast,3,4,65536,24.32,10.51,32.34,1000
Broadcast,3,4,131072,39.88,17.63,52.61,1000
Broadcast,3,4,262144,70.72,31.51,92.92,1000
Broadcast,3,4,524288,130.51,57.16,171.73,1000
Broadcast,3,4,1048576,259.87,116.41,340.64,1000
Broadcast,5,4,1,0.34,0.18,0.44,1000
Broadcast,5,4,2,0.34,0.19,0.43,1000
Broadcast,5,4,4,0.33,0.18,0.41,1000
Broadcast,5,4,8,0.33,0.18,0.42,1000
Broadcast,5,4,16,0.33,0.18,0.42,1000
Broadcast,5,4,32,0.39,0.20,0.51,1000
Broadcast,5,4,64,0.38,0.19,0.51,1000
Broadcast,5,4,128,0.56,0.30,0.78,1000
Broadcast,5,4,256,0.57,0.31,0.77,1000
Broadcast,5,4,512,0.62,0.30,0.86,1000
Broadcast,5,4,1024,0.83,0.42,1.15,1000
Broadcast,5,4,2048,1.13,0.56,1.63,1000
Broadcast,5,4,4096,1.75,0.93,2.48,1000
Broadcast,5,4,8192,2.77,1.61,3.85,1000
Broadcast,5,4,16384,6.90,4.23,9.29,1000
Broadcast,5,4,32768,11.28,6.95,15.22,1000
Broadcast,5,4,65536,17.06,10.18,22.86,1000
Broadcast,5,4,131072,28.41,16.68,37.70,1000
Broadcast,5,4,262144,51.24,29.93,67.58,1000
Broadcast,5,4,524288,96.46,57.97,126.37,1000
Broadcast,5,4,1048576,192.40,118.36,250.63,1000
Broadcast,1,5,1,0.26,0.24,0.27,1000
Broadcast,1,5,2,0.27,0.26,0.28,1000
Broadcast,1,5,4,0.33,0.25,0.38,1000
Broadcast,1,5,8,0.29,0.25,0.39,1000
Broadcast,1,5,16,0.26,0.25,0.27,1000
Broadcast,1,5,32,0.39,0.35,0.42,1000
Broadcast,1,5,64,0.34,0.31,0.38,1000
Broadcast,1,5,128,0.53,0.37,0.68,1000
Broadcast,1,5,256,0.59,0.41,0.75,1000
Broadcast,1,5,512,0.69,0.49,0.87,1000
Broadcast,1,5,1024,0.94,0.65,1.24,1000
Broadcast,1,5,2048,1.38,0.90,1.88,1000
Broadcast,1,5,4096,2.19,1.37,3.04,1000
Broadcast,1,5,8192,3.37,1.97,4.79,1000
Broadcast,1,5,16384,6.40,4.75,7.38,1000
Broadcast,1,5,32768,8.64,6.63,9.94,1000
Broadcast,1,5,65536,16.29,10.80,18.68,1000
Broadcast,1,5,131072,34.34,28.13,36.97,1000
Broadcast,1,5,262144,70.22,64.00,72.96,1000
Broadcast,1,5,524288,143.94,138.40,146.65,1000
Broadcast,1,5,1048576,276.11,260.28,290.34,1000
Broadcast,2,5,1,0.32,0.28,0.41,1000
Broadcast,2,5,2,0.32,0.31,0.33,1000
Broadcast,2,5,4,0.29,0.28,0.30,1000
Broadcast,2,5,8,0.32,0.29,0.32,1000
Broadcast,2,5,16,0.32,0.31,0.33,1000
Broadcast,2,5,32,0.38,0.35,0.42,1000
Broadcast,2,5,64,0.36,0.34,0.39,1000
Broadcast,2,5,128,0.55,0.39,0.67,1000
Broadcast,2,5,256,0.61,0.44,0.75,1000
Broadcast,2,5,512,0.70,0.52,0.87,1000
Broadcast,2,5,1024,0.94,0.66,1.22,1000
Broadcast,2,5,2048,1.29,0.85,1.75,1000
Broadcast,2,5,4096,2.21,1.38,3.06,1000
Broadcast,2,5,8192,3.35,1.99,4.76,1000
Broadcast,2,5,16384,6.43,4.56,7.33,1000
Broadcast,2,5,32768,10.99,8.75,11.95,1000
Broadcast,2,5,65536,20.16,17.88,21.18,1000
Broadcast,2,5,131072,38.53,36.46,39.68,1000
Broadcast,2,5,262144,74.97,72.79,76.39,1000
Broadcast,2,5,524288,149.65,147.94,151.32,1000
Broadcast,2,5,1048576,300.12,296.56,305.19,1000
Broadcast,3,5,1,0.61,0.11,0.93,1000
Broadcast,3,5,2,0.63,0.11,0.94,1000
Broadcast,3,5,4,0.64,0.11,0.98,1000
Broadcast,3,5,8,0.64,0.11,1.04,1000
Broadcast,3,5,16,0.62,0.11,0.93,1000
Broadcast,3,5,32,0.74,0.11,1.18,1000
Broadcast,3,5,64,0.76,0.11,1.22,1000
Broadcast,3,5,128,0.96,0.16,1.59,1000
Broadcast,3,5,256,0.98,0.16,1.63,1000
Broadcast,3,5,512,1.11,0.16,1.91,1000
Broadcast,3,5,1024,1.35,0.18,2.30,1000
Broadcast,3,5,2048,1.85,0.23,3.21,1000
Broadcast,3,5,4096,2.75,0.37,4.79,1000
Broadcast,3,5,8192,4.50,0.67,7.79,1000
Broadcast,3,5,16384,12.31,3.91,17.74,1000
Broadcast,3,5,32768,18.65,6.30,26.43,1000
Broadcast,3,5,65536,30.39,10.43,42.72,1000
Broadcast,3,5,131072,53.91,19.05,75.30,1000
Broadcast,3,5,262144,100.25,35.52,139.86,1000
Broadcast,3,5,524288,193.57,67.71,270.40,1000
