ntasks,global_data_size,parallel_time,serial_time
50,10000000,0.230819,2.068369
50,10000000,0.231962,2.034061
50,10000000,0.231432,2.048443
50,10000000,0.231089,2.034857
50,10000000,0.231792,2.040944
50,10000000,0.230986,2.036432
52,10000000,0.231162,2.038287
52,10000000,0.173944,2.055620
52,10000000,0.229270,2.050279
52,10000000,0.231090,2.063619
52,10000000,0.229582,2.034891
52,10000000,0.229586,2.043722
52,10000000,0.229432,2.035751
52,10000000,0.174286,2.035593
52,10000000,0.230037,2.034924
52,10000000,0.231246,2.037972
54,10000000,0.226749,2.037993
54,10000000,0.229614,2.044523
54,10000000,0.228179,2.040317
54,10000000,0.228284,2.161151
54,10000000,0.227882,2.034738
54,10000000,0.228633,2.035757
54,10000000,0.228122,2.039289
54,10000000,0.228133,2.038745
54,10000000,0.228571,2.042280
54,10000000,0.229563,2.055619
56,10000000,0.229427,2.041315
56,10000000,0.168732,2.035399
56,10000000,0.170087,2.095923
56,10000000,0.225284,2.035601
56,10000000,0.169230,2.051145
56,10000000,0.227226,2.071049
56,10000000,0.168906,2.033717
56,10000000,0.225648,2.098748
56,10000000,0.168651,2.036124
56,10000000,0.225270,2.034563
58,10000000,0.227367,2.038533
58,10000000,0.228580,2.044881
58,10000000,0.228273,2.039773
58,10000000,0.225165,2.044385
58,10000000,0.169192,2.035303
58,10000000,0.227483,2.034171
58,10000000,0.227221,2.042411
58,10000000,0.227904,2.032904
58,10000000,0.168652,2.038308
58,10000000,0.227909,2.039312
60,10000000,0.226155,2.037660
60,10000000,0.225447,2.033686
60,10000000,0.166387,2.032914
60,10000000,0.167145,2.033350
60,10000000,0.225080,2.035655
60,10000000,0.226343,2.039961
60,10000000,0.225341,2.049819
60,10000000,0.226571,2.037557
60,10000000,0.167403,2.050650
60,10000000,0.225619,2.037731
62,10000000,0.225656,2.038313
62,10000000,0.222531,2.039976
62,10000000,0.225459,2.034476
62,10000000,0.221672,2.036824
62,10000000,0.225418,2.064996
62,10000000,0.225576,2.036735
62,10000000,0.226046,2.039495
62,10000000,0.221947,2.037976
62,10000000,0.223849,2.052279
62,10000000,0.221939,2.038310
64,10000000,0.163654,2.069330
64,10000000,0.163889,2.046018
64,10000000,0.165923,2.034183
64,10000000,0.163779,2.033418
64,10000000,0.163329,2.039189
64,10000000,0.163308,2.040232
64,10000000,0.163371,2.042086
64,10000000,0.163422,2.037792
64,10000000,0.165813,2.036648
64,10000000,0.163781,2.089262
66,10000000,0.163549,2.036369
66,10000000,0.163584,2.107052
66,10000000,0.163728,2.036208
66,10000000,0.163775,2.034238
66,10000000,0.163574,2.035859
66,10000000,0.163803,2.101801
66,10000000,0.164161,2.033729
66,10000000,0.163575,2.034492
