Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,5,3,16,0.81,0.24,1.38,1000
Broadcast,5,3,32,0.90,0.25,1.45,1000
Broadcast,5,3,64,0.89,0.25,1.43,1000
Broadcast,5,3,128,1.13,0.44,1.49,1000
Broadcast,5,3,256,1.18,0.47,1.55,1000
Broadcast,5,3,512,1.29,0.58,1.73,1000
Broadcast,5,3,1024,1.58,0.79,2.18,1000
Broadcast,5,3,2048,1.86,1.02,2.64,1000
Broadcast,5,3,4096,2.50,1.59,3.62,1000
Broadcast,5,3,8192,3.74,2.75,5.46,1000
Broadcast,5,3,16384,6.59,6.33,7.00,1000
Broadcast,5,3,32768,10.21,9.67,10.83,1000
Broadcast,5,3,65536,13.39,12.40,14.12,1000
Broadcast,5,3,131072,23.88,21.52,25.50,1000
Broadcast,5,3,262144,40.75,35.71,43.82,1000
Broadcast,5,3,524288,80.30,70.01,86.04,1000
Broadcast,5,3,1048576,169.94,148.67,181.20,1000
Broadcast,1,4,1,0.35,0.33,0.40,1000
Broadcast,1,4,2,0.36,0.34,0.39,1000
Broadcast,1,4,4,0.37,0.35,0.39,1000
Broadcast,1,4,8,0.36,0.34,0.37,1000
Broadcast,1,4,16,0.36,0.35,0.39,1000
Broadcast,1,4,32,0.58,0.43,0.82,1000
Broadcast,1,4,64,0.54,0.43,0.72,1000
Broadcast,1,4,128,1.10,0.59,1.57,1000
Broadcast,1,4,256,1.12,0.59,1.65,1000
Broadcast,1,4,512,1.32,0.63,1.96,1000
Broadcast,1,4,1024,1.58,0.75,2.38,1000
Broadcast,1,4,2048,2.18,0.98,3.37,1000
Broadcast,1,4,4096,3.25,1.37,4.96,1000
Broadcast,1,4,8192,5.09,2.08,7.68,1000
Broadcast,1,4,16384,7.74,6.80,8.47,1000
Broadcast,1,4,32768,12.12,10.60,13.05,1000
Broadcast,1,4,65536,21.89,19.85,23.25,1000
Broadcast,1,4,131072,41.03,38.52,42.51,1000
Broadcast,1,4,262144,84.14,82.83,86.03,1000
Broadcast,1,4,524288,172.12,168.78,175.95,1000
Broadcast,1,4,1048576,330.99,314.31,342.48,1000
Broadcast,2,4,1,0.48,0.43,0.52,1000
Broadcast,2,4,2,0.50,0.45,0.53,1000
Broadcast,2,4,4,0.48,0.42,0.52,1000
Broadcast,2,4,8,0.49,0.44,0.52,1000
Broadcast,2,4,16,0.49,0.44,0.51,1000
Broadcast,2,4,32,0.75,0.58,0.93,1000
Broadcast,2,4,64,0.68,0.56,0.83,1000
Broadcast,2,4,128,1.14,0.67,1.56,1000
Broadcast,2,4,256,1.20,0.69,1.66,1000
Broadcast,2,4,512,1.37,0.75,1.92,1000
Broadcast,2,4,1024,1.67,0.89,2.37,1000
Broadcast,2,4,2048,2.26,1.09,3.37,1000
Broadcast,2,4,4096,3.37,1.52,5.03,1000
Broadcast,2,4,8192,5.21,2.24,7.72,1000
Broadcast,2,4,16384,8.09,7.16,8.82,1000
Broadcast,2,4,32768,12.82,11.37,13.73,1000
Broadcast,2,4,65536,22.17,19.98,23.34,1000
Broadcast,2,4,131072,42.56,40.36,44.05,1000
Broadcast,2,4,262144,84.87,82.64,86.55,1000
Broadcast,2,4,524288,171.67,169.61,174.95,1000
Broadcast,2,4,1048576,338.33,328.38,348.08,1000
Broadcast,3,4,1,0.75,0.24,1.05,1000
Broadcast,3,4,2,0.74,0.24,1.05,1000
