Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,5,3,16,0.35,0.15,0.58,1000
Broadcast,5,3,32,0.39,0.16,0.62,1000
Broadcast,5,3,64,0.38,0.16,0.60,1000
Broadcast,5,3,128,0.46,0.24,0.59,1000
Broadcast,5,3,256,0.50,0.28,0.64,1000
Broadcast,5,3,512,0.53,0.27,0.66,1000
Broadcast,5,3,1024,0.70,0.39,0.89,1000
Broadcast,5,3,2048,0.89,0.51,1.16,1000
Broadcast,5,3,4096,1.30,0.81,1.71,1000
Broadcast,5,3,8192,1.93,1.33,2.60,1000
Broadcast,5,3,16384,4.18,4.10,4.22,1000
Broadcast,5,3,32768,6.84,6.67,6.94,1000
Broadcast,5,3,65536,10.69,10.37,10.85,1000
Broadcast,5,3,131072,17.91,17.44,18.15,1000
Broadcast,5,3,262144,32.23,31.48,32.65,1000
Broadcast,5,3,524288,61.02,59.51,61.92,1000
Broadcast,5,3,1048576,123.26,120.12,124.99,1000
Broadcast,1,4,1,0.16,0.16,0.17,1000
Broadcast,1,4,2,0.18,0.18,0.18,1000
Broadcast,1,4,4,0.17,0.16,0.18,1000
Broadcast,1,4,8,0.17,0.16,0.18,1000
Broadcast,1,4,16,0.17,0.16,0.18,1000
Broadcast,1,4,32,0.21,0.20,0.22,1000
Broadcast,1,4,64,0.22,0.20,0.25,1000
Broadcast,1,4,128,0.36,0.28,0.43,1000
Broadcast,1,4,256,0.39,0.31,0.47,1000
Broadcast,1,4,512,0.48,0.38,0.59,1000
Broadcast,1,4,1024,0.62,0.48,0.80,1000
Broadcast,1,4,2048,0.91,0.68,1.23,1000
Broadcast,1,4,4096,1.46,1.06,2.00,1000
Broadcast,1,4,8192,2.30,1.59,3.16,1000
Broadcast,1,4,16384,5.19,4.23,5.73,1000
Broadcast,1,4,32768,8.23,6.94,8.91,1000
Broadcast,1,4,65536,14.01,12.92,15.05,1000
Broadcast,1,4,131072,26.00,23.48,27.59,1000
Broadcast,1,4,262144,50.37,47.37,52.69,1000
Broadcast,1,4,524288,104.67,103.88,106.57,1000
Broadcast,1,4,1048576,210.89,202.00,214.61,1000
Broadcast,2,4,1,0.17,0.17,0.18,1000
Broadcast,2,4,2,0.19,0.19,0.19,1000
Broadcast,2,4,4,0.18,0.18,0.18,1000
Broadcast,2,4,8,0.20,0.18,0.20,1000
